Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders,Data Year
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2016, , ,2018
Happy Cow Dairy,"Agriculture, Farming",Seed,584000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,2017, , ,2018
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",Series A,949000.0,Gurgaon,Leading Online Loans Marketplace in India,2013, , ,2018
PayMe India,"Financial Services, FinTech",Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,2016, , ,2018
Eunimart,"E-Commerce Platforms, Retail, SaaS",Seed,,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,2017, , ,2018
Hasura,"Cloud Infrastructure, PaaS, SaaS",Seed,1600000.0,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.", , , ,2018
Tripshelf,"Internet, Leisure, Marketplace",Seed,233600.0,"Kalkaji, Delhi, India",Tripshelf is an online market place for holiday packages., , , ,2018
Hyperdata.IO,Market Research,Angel,730000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence., , , ,2018
Freightwalla,"Information Services, Information Technology",Seed,,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations., , , ,2018
Microchip Payments,Mobile Payments,Seed,,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device, , , ,2018
BizCrum Infotech Pvt. Ltd.,"B2B, Shoes",Seed,,Delhi,Building Transactionary B2B Marketplaces, , , ,2018
Emojifi,Internet,Seed,,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.", , , ,2018
Flock,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",Seed,,"India, Asia",Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity., , , ,2018
Freshboxx,Food Delivery,Seed,,"Hubli, Karnataka, India","Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.", , , ,2018
Wide Mobility Mechatronics,Industrial Automation,Seed,,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares, , , ,2018
Pitstop,"Automotive, Search Engine, Service Industry",Seed,1460000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles., , , ,2018
Mihuru,"Finance, Internet, Travel",Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel ., , , ,2018
Fyle,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises., , , ,2018
AppWharf,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",Seed,,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business., , , ,2018
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",Seed,7300.0,Chennai,Waste Management for Smart Cities, , , ,2018
Cogoport,"Air Transportation, Freight Service, Logistics, Marine Transportation",Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers., , , ,2018
PaisaDukan,Financial Services,Seed,650000.0,Mumbai,A P2P lending marketplace platform, , , ,2018
Sleepy Owl Coffee,Food and Beverage,Seed,511000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.", , , ,2018
BlueJack,Autonomous Vehicles,Seed,934400.0,Delhi,Delhi-based online used vehicles marketplace., , , ,2018
PregBuddy,"Enterprise Software, Health Care, Hospital, Parenting, Personal Health, SaaS",Seed,,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers., , , ,2018
AgNext Technologies,"Agriculture, Analytics, Big Data, Farming",Series A,,Mohali,AgNext is an agricultural sensing and solutions company focused on building data-driven solutions for agricultural stakeholders, , , ,2018
Pando,"Logistics, Supply Chain Management",Seed,2000000.0,Chennai,A startup which digitizes logistics operations for Fortune 500 companies., , , ,2018
Mintifi,"Financial Services, Lending",Seed,2000000.0,Mumbai,Online lending startup based in Mumbai., , , ,2018
Carcrew,"Automotive, Marketplace, Online Portals",Seed,2000000.0,Mumbai,India's Online Auto Repair Marketplace, , , ,2018
NicheAI,Artificial Intelligence,Angel,,Hyderabad,Early stage Artificial Intelligence (AI) start up., , , ,2018
Chariot Tech,"Internet of Things, Telecommunications",Seed,292000.0,New Delhi,Chariot Tech is an Internet of Things (IoT) startup based in New Delhi., , , ,2018
Ideal Insurance Brokers/ 121Policy.com,Insurance,Seed,1000000.0,Kolkata,Ideal Insurance Broking is one of the leaders in insurance broking domain., , , ,2018
Loanzen,Financial Services,Seed,,Bangalore,Loanzen helps small businesses get unsecured working capital loans against their their pending invoices., , , ,2018
Mojro Technologies,"Information Technology, Logistics, Supply Chain Management",Seed,650000.0,Bengaluru,Mojro envisions to be the world's largest technology-enabled logistics platform., , , ,2018
Elemential,"Blockchain, Developer Tools, Enterprise Software",Seed,1000000.0,Mumbai,"Blockchain Development Platform To Design, Run & Scale Blockchain Networks.", , , ,2018
Loadshare,"Industrial Automation, Logistics, Supply Chain Management",Series A,5000000.0,Bengaluru,LoadShare is India’s fastest growing logistics company, , , ,2018
Yumlane,"Food and Beverage, Food Delivery, Snack Food",Series A,4000000.0,Mumbai,Food startup Yumlane operated by QwikPik Technology, , , ,2018
Kriger Campus,Education,Seed,438000.0,New Delhi,A Education Start Up., , , ,2018
Pipa+Bella,"E-Commerce, Fashion, Jewelry, Retail",Series A,1000000.0,Mumbai,Pipa+Bella is an online store aimed at selling fashionable and affordable costume jewelry at par with international standards and trends, , , ,2018
Kaleidofin,Financial Services,Seed,2800000.0,Chennai,A fintech platform., , , ,2018
Chakr Innovation,Renewable Energy,Seed,,New Delhi,Chakr has developed the world’s first retro-fit emission control device for diesel generators., , , ,2018
IndigoLearn,"E-Learning, Education",Seed,150000.0,Hyderabad,India's the premier education destination catering to the needs of aspiring students of the CA community., , , ,2018
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",Seed,584000.0,"India, Asia",UClean is a tech enabled laundry service provider., , , ,2018
Coutloot,"E-Commerce, Fashion, Mobile",Seed,1000000.0,Mumbai,The Fashion Re-commerce platform., , , ,2018
Letstrack,"Apps, Messaging, Navigation, Public Safety",Seed,1700000.0,New Delhi,"Letstrack GPS tracking devices to track your kids, bike, car and other vehicles. GPS trackers for Vehicle Tracking System in India.", , , ,2018
Pooltoo,Transportation,Seed,,New Delhi,Pooltoo offers a premium ride sharing platform., , , ,2018
Finzy,"Financial Services, Lending",Seed,1300000.0,Bangalore,finzy is the premier peer to peer lending solution in India., , , ,2018
Fitternity,"Fitness, Health Care, Wellness",Seed,2000000.0,Mumbai,India's largest online fitness platform that provides an integrated eco-system to help users start & sustain their fitness journey, , , ,2018
Keito,"Artificial Intelligence, Machine Learning, SaaS, Virtual Assistant",Seed,,Pune,Building an Intelligent Digital Assistant., , , ,2018
Tolet for Students,Hospitality,Seed,73000.0,Jodhpur,"Reserve your Room, Hostel or Paying Guest, while relocating for higher education.", , , ,2018
Chai Kings,"Food and Beverage, Tea",Seed,292000.0,Chennai,Chai Kings is a tea retail chain, , , ,2018
Dainik Jagran,"Media and Entertainment, News, Outdoors",Seed,584000.0,"Kanpur, Uttar Pradesh, India",Dainik Jagran is a media and communications group., , , ,2018
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",Seed,292000.0,Bengaluru,Playtoome is a live entertainment destination, , , ,2018
ONGO Framework,"B2B, Information Services, Information Technology",Angel,1000000.0,Hyderabad,ONGO Framework is a B2B IT and digital solution provider., , , ,2018
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",Seed,182500.0,New Delhi,A Global Peer-to-Peer and Peer-to-Group Learning Platform that helps students supplement their academic & competitive exam prep., , , ,2018
