Company/Brand,Sector,Stage,Amount($),HeadQuarter,What it does,Founded,Investor,Founders
Mombay,"Food and Beverage, Food Delivery, Internet",Seed,7500,"Mumbai, Maharashtra, India",Mombay is a unique opportunity for housewives to start household food business and avail everyone with their homemade healthy dishes., , , 
AuthMetrik,"B2B, Biometrics, Cyber Security, Fraud Detection, SaaS, Security",Grant,"$10,000 ","Gurgaon, Haryana, India","SaaS, B2B, Security, Stop account sharing, Fraud Detection", , , 
Medicus,Healthtech,,"$12,700 ",Mumbai,AI-based platform that explains and interprets blood tests and medical reports,,Angel investors,"Bhavesh Shah, Manav Shah"
Monech,Fintech,Seed Round,"$12,700 ",Mumbai,Automated platform which will help users to take their financial decisions,,Angel investors,
Teach Us,Edtech,Seed Round,"$12,700 ",,Educational portal which enables the students to access information related to education at one common platform,,Angel investors,
artbandhu,"Digital Media, Internet, Media and Entertainment, Online Portals, Social Media",Pre-Seed,"$15,000 ","Bangalore, Karnataka, India",Ai platform for Art and Creative Community, , , 
Wimoxez,Internet,Seed,20000,"Hyderabad, Andhra Pradesh, India","Data Intelligence Publishing Platform, We bring the best resources to learn valuable technologies which will shape tomorrow.", , , 
Vizzbee,"Artificial Intelligence, Drones, Navigation, Packaging Services, Robotics",Pre-Seed,"$20,000 ","Bhopal, Madhya Pradesh, India",Autonomous Drone Solutions for last mile delivery as well as search and rescue, , , 
Fasal,AgriTech,,"$20,000 ",Bangalore,Captures real-time data on crop growth conditions using on-farm sensors and delivers advisories to farmers in Indian languages,2018,"Omnivore, Zeroth.AI","Ananda Prakash Verma, Shailendra Tiwari"
Krimanshi,Agritech,,"$20,000 ",Jodhpur,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,,Arunachal Pradesh Social Entrepreneurship Meet,Nikhil Bohra
Karfa,Ecommerce,Seed Round,"$25,000 ",Delhi,It sells products crafted by artisans,,Undisclosed,Kartikeya Goel
GoGaga,"Dating, Private Social Networking",Non-equity Assistance,40000,"Bangalore City, Karnataka, India",GoGaga is a new age dating app that has removed the mindless swiping on strangers and connects users through their network and find matches., , , 
GetWork,HR Tech,Pre-seed,"$40,000 ",Gurugram,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2019,India Accelerator,Rahul Veerwal
